institution,website,address_contact,category,source_file
Nigerian Bulk Electricity Trading Plc (NBET),nbet.com.ng,Abuja,"Energy, Petroleum, Power & Solid Minerals",laws/mda/nigeria-mda-directory.txt
Energy Commission of Nigeria (ECN),energy.gov.ng,Abuja,"Energy, Petroleum, Power & Solid Minerals",laws/mda/nigeria-mda-directory.txt
Electricity Management Services Ltd (EMSL),emsl.gov.ng,Lagos,"Energy, Petroleum, Power & Solid Minerals",laws/mda/nigeria-mda-directory.txt
National Power Training Institute of Nigeria,naptin.gov.ng,Abuja (NAPTIN),"Energy, Petroleum, Power & Solid Minerals",laws/mda/nigeria-mda-directory.txt
Nigeria Atomic Energy Commission (NAEC),naec.gov.ng,Abuja,"Energy, Petroleum, Power & Solid Minerals",laws/mda/nigeria-mda-directory.txt
Nigerian Nuclear Regulatory Authority (NNRA),nnra.gov.ng,Abuja,"Energy, Petroleum, Power & Solid Minerals",laws/mda/nigeria-mda-directory.txt
Nigerian Mining Cadastre Office (MCO),mco.gov.ng,Abuja,"Energy, Petroleum, Power & Solid Minerals",laws/mda/nigeria-mda-directory.txt
Nigerian Geological Survey Agency (NGSA),ngsa.gov.ng,Abuja,"Energy, Petroleum, Power & Solid Minerals",laws/mda/nigeria-mda-directory.txt
National Steel Raw Materials Exploration Agency,—,Kaduna (NSRMEA),"Energy, Petroleum, Power & Solid Minerals",laws/mda/nigeria-mda-directory.txt
Metallurgical Training Institute,—,"Onitsha, Anambra State","Energy, Petroleum, Power & Solid Minerals",laws/mda/nigeria-mda-directory.txt
National Metallurgical Development Centre,—,"Jos, Plateau State","Energy, Petroleum, Power & Solid Minerals",laws/mda/nigeria-mda-directory.txt
Ajaokuta Steel Company Ltd,—,Kogi State,"Energy, Petroleum, Power & Solid Minerals",laws/mda/nigeria-mda-directory.txt
Delta Steel Company,—,"Ovwian-Aladja, Delta State","Energy, Petroleum, Power & Solid Minerals",laws/mda/nigeria-mda-directory.txt
Solid Minerals Development Fund (SMDF),smdf.gov.ng,Abuja,"Energy, Petroleum, Power & Solid Minerals",laws/mda/nigeria-mda-directory.txt
Nigerian Gas Company / NGML,nnpcgroup.com,Abuja,"Energy, Petroleum, Power & Solid Minerals",laws/mda/nigeria-mda-directory.txt
Federal Airports Authority of Nigeria (FAAN),faan.gov.ng,"Murtala Muhammed Airport, Lagos","Transport, Aviation, Maritime & Roads",laws/mda/nigeria-mda-directory.txt
Nigerian Civil Aviation Authority (NCAA),ncaa.gov.ng,Abuja / Lagos,"Transport, Aviation, Maritime & Roads",laws/mda/nigeria-mda-directory.txt
Nigerian Airspace Management Agency (NAMA),nama.gov.ng,Lagos,"Transport, Aviation, Maritime & Roads",laws/mda/nigeria-mda-directory.txt
Nigerian Meteorological Agency (NiMet),nimet.gov.ng,Abuja,"Transport, Aviation, Maritime & Roads",laws/mda/nigeria-mda-directory.txt
Nigerian College of Aviation Technology (NCAT),ncat.gov.ng,"Zaria, Kaduna State","Transport, Aviation, Maritime & Roads",laws/mda/nigeria-mda-directory.txt
Nigerian Safety Investigation Bureau (NSIB),nsib.gov.ng,Abuja,"Transport, Aviation, Maritime & Roads",laws/mda/nigeria-mda-directory.txt
Nigerian Ports Authority (NPA),nigerianports.gov.ng,"Marina, Lagos","Transport, Aviation, Maritime & Roads",laws/mda/nigeria-mda-directory.txt
Nigerian Maritime Administration and Safety,nimasa.gov.ng,"Apapa, Lagos Agency (NIMASA)","Transport, Aviation, Maritime & Roads",laws/mda/nigeria-mda-directory.txt
Nigerian Shippers' Council (NSC),shipperscouncil.gov.ng,Lagos,"Transport, Aviation, Maritime & Roads",laws/mda/nigeria-mda-directory.txt
National Inland Waterways Authority (NIWA),niwa.gov.ng,"Lokoja, Kogi State","Transport, Aviation, Maritime & Roads",laws/mda/nigeria-mda-directory.txt
Nigerian Railway Corporation (NRC),nrc.gov.ng,"Ebute Metta, Lagos","Transport, Aviation, Maritime & Roads",laws/mda/nigeria-mda-directory.txt
Federal Road Safety Corps (FRSC),frsc.gov.ng,Abuja. Emergency 122,"Transport, Aviation, Maritime & Roads",laws/mda/nigeria-mda-directory.txt
Federal Roads Maintenance Agency (FERMA),ferma.gov.ng,Abuja,"Transport, Aviation, Maritime & Roads",laws/mda/nigeria-mda-directory.txt
Nigerian Institute of Transport Technology (NITT),nitt.gov.ng,"Zaria, Kaduna State","Transport, Aviation, Maritime & Roads",laws/mda/nigeria-mda-directory.txt
Maritime Academy of Nigeria,man.edu.ng,"Oron, Akwa Ibom State","Transport, Aviation, Maritime & Roads",laws/mda/nigeria-mda-directory.txt
Council for the Regulation of Freight Forwarding,crffn.gov.ng,Lagos in Nigeria (CRFFN),"Transport, Aviation, Maritime & Roads",laws/mda/nigeria-mda-directory.txt
Nigerian Institute of Marine Studies,—,Lagos,"Transport, Aviation, Maritime & Roads",laws/mda/nigeria-mda-directory.txt
Federal Highways Department,works.gov.ng,Abuja,"Transport, Aviation, Maritime & Roads",laws/mda/nigeria-mda-directory.txt
Nigerian Building and Road Research Institute,nbrri.gov.ng,Abuja (NBRRI),"Transport, Aviation, Maritime & Roads",laws/mda/nigeria-mda-directory.txt
Federal Housing Authority (FHA),fha.gov.ng,"Sekou Toure Crescent, Asokoro, Abuja","Transport, Aviation, Maritime & Roads",laws/mda/nigeria-mda-directory.txt
Nigerian Communications Commission (NCC),ncc.gov.ng,"[V] Plot 423 Aguiyi Ironsi St, Maitama, Abuja 900271. Tel +234-209-4617000","ICT, Communications, Media & Broadcasting",laws/mda/nigeria-mda-directory.txt
National Information Technology Development,nitda.gov.ng,Abuja Agency (NITDA),"ICT, Communications, Media & Broadcasting",laws/mda/nigeria-mda-directory.txt
Nigeria Data Protection Commission (NDPC),ndpc.gov.ng,"[V] 12 Clement Isong Street, Asokoro, Abuja","ICT, Communications, Media & Broadcasting",laws/mda/nigeria-mda-directory.txt
Nigerian Communications Satellite Ltd,nigcomsat.gov.ng,Abuja (NIGCOMSAT),"ICT, Communications, Media & Broadcasting",laws/mda/nigeria-mda-directory.txt
Galaxy Backbone Ltd (GBB),galaxybackbone.com.ng,Abuja,"ICT, Communications, Media & Broadcasting",laws/mda/nigeria-mda-directory.txt
Nigerian Postal Service (NIPOST),nipost.gov.ng,Abuja,"ICT, Communications, Media & Broadcasting",laws/mda/nigeria-mda-directory.txt
National Frequency Management Council,—,Abuja (NFMC),"ICT, Communications, Media & Broadcasting",laws/mda/nigeria-mda-directory.txt
National Broadcasting Commission (NBC),nbc.gov.ng,Abuja,"ICT, Communications, Media & Broadcasting",laws/mda/nigeria-mda-directory.txt
Nigerian Television Authority (NTA),nta.ng,Abuja,"ICT, Communications, Media & Broadcasting",laws/mda/nigeria-mda-directory.txt
Federal Radio Corporation of Nigeria (FRCN),radionigeria.gov.ng,Abuja,"ICT, Communications, Media & Broadcasting",laws/mda/nigeria-mda-directory.txt
Voice of Nigeria (VON),von.gov.ng,Abuja,"ICT, Communications, Media & Broadcasting",laws/mda/nigeria-mda-directory.txt
News Agency of Nigeria (NAN),nannews.ng,Abuja,"ICT, Communications, Media & Broadcasting",laws/mda/nigeria-mda-directory.txt
National Orientation Agency (NOA),noa.gov.ng,Abuja,"ICT, Communications, Media & Broadcasting",laws/mda/nigeria-mda-directory.txt
Nigerian Press Council,presscouncil.gov.ng,Abuja,"ICT, Communications, Media & Broadcasting",laws/mda/nigeria-mda-directory.txt
National Film and Video Censors Board (NFVCB),nfvcb.gov.ng,Abuja,"ICT, Communications, Media & Broadcasting",laws/mda/nigeria-mda-directory.txt
Nigerian Film Corporation (NFC),nfc.gov.ng,"Jos, Plateau State","ICT, Communications, Media & Broadcasting",laws/mda/nigeria-mda-directory.txt
National Identity Management Commission,nimc.gov.ng,"[V] 11 Sokode Crescent, off Dalaba St, Zone 5, (NIMC) Wuse, PMB 18 Garki, Abuja","ICT, Communications, Media & Broadcasting",laws/mda/nigeria-mda-directory.txt
Nigerian Institute of Journalism,nij.edu.ng,Lagos,"ICT, Communications, Media & Broadcasting",laws/mda/nigeria-mda-directory.txt
Computer Professionals Registration Council of,cpn.gov.ng,Lagos Nigeria (CPN),"ICT, Communications, Media & Broadcasting",laws/mda/nigeria-mda-directory.txt
National Agency for Science and Engineering,naseni.gov.ng,Abuja Infrastructure (NASENI),"ICT, Communications, Media & Broadcasting",laws/mda/nigeria-mda-directory.txt
National Biotechnology Research and,nabda.gov.ng,Abuja Development Agency (NABDA),"ICT, Communications, Media & Broadcasting",laws/mda/nigeria-mda-directory.txt
National Space Research and Development,nasrda.gov.ng,Abuja Agency (NASRDA),"ICT, Communications, Media & Broadcasting",laws/mda/nigeria-mda-directory.txt
National Centre for Remote Sensing (NCRS),—,"Jos, Plateau State","ICT, Communications, Media & Broadcasting",laws/mda/nigeria-mda-directory.txt
Sheda Science and Technology Complex,shestco.gov.ng,"Sheda, Abuja (SHESTCO)","ICT, Communications, Media & Broadcasting",laws/mda/nigeria-mda-directory.txt
National Centre for Technology Management,nacetem.gov.ng,"Ile-Ife, Osun State (NACETEM)","ICT, Communications, Media & Broadcasting",laws/mda/nigeria-mda-directory.txt
Nigerian Institute of Leather and Science,nilest.gov.ng,"Zaria, Kaduna State Technology","ICT, Communications, Media & Broadcasting",laws/mda/nigeria-mda-directory.txt
National Environmental Standards and,nesrea.gov.ng,Abuja Regulations Enforcement Agency (NESREA),"Environment, Water Resources & Emergency Management",laws/mda/nigeria-mda-directory.txt
National Oil Spill Detection and Response,nosdra.gov.ng,Abuja Agency (NOSDRA),"Environment, Water Resources & Emergency Management",laws/mda/nigeria-mda-directory.txt
National Biosafety Management Agency (NBMA),nbma.gov.ng,Abuja,"Environment, Water Resources & Emergency Management",laws/mda/nigeria-mda-directory.txt
National Park Service,nigeriaparkservice.gov.ng,Abuja,"Environment, Water Resources & Emergency Management",laws/mda/nigeria-mda-directory.txt
National Agency for the Great Green Wall,ggwnigeria.gov.ng,Abuja (NAGGW),"Environment, Water Resources & Emergency Management",laws/mda/nigeria-mda-directory.txt
Hydrocarbon Pollution Remediation Project,hyprep.gov.ng,"Port Harcourt, Rivers State (HYPREP)","Environment, Water Resources & Emergency Management",laws/mda/nigeria-mda-directory.txt
Ecological Fund Office,ecologicalfund.gov.ng,"The Presidency, Abuja","Environment, Water Resources & Emergency Management",laws/mda/nigeria-mda-directory.txt
Nigeria Hydrological Services Agency (NIHSA),nihsa.gov.ng,Abuja,"Environment, Water Resources & Emergency Management",laws/mda/nigeria-mda-directory.txt
Nigeria Integrated Water Resources Management,niwrmc.gov.ng,Abuja Commission (NIWRMC),"Environment, Water Resources & Emergency Management",laws/mda/nigeria-mda-directory.txt
National Water Resources Institute (NWRI),nwri.gov.ng,Kaduna,"Environment, Water Resources & Emergency Management",laws/mda/nigeria-mda-directory.txt
Anambra-Imo River Basin Development,—,"Owerri, Imo State Authority","Environment, Water Resources & Emergency Management",laws/mda/nigeria-mda-directory.txt
Benin-Owena River Basin Development,—,"Benin City, Edo State Authority","Environment, Water Resources & Emergency Management",laws/mda/nigeria-mda-directory.txt
Chad Basin Development Authority,—,"Maiduguri, Borno State","Environment, Water Resources & Emergency Management",laws/mda/nigeria-mda-directory.txt
Cross River Basin Development Authority,—,"Calabar, Cross River State","Environment, Water Resources & Emergency Management",laws/mda/nigeria-mda-directory.txt
Hadejia-Jama'are River Basin Development,—,Kano State Authority,"Environment, Water Resources & Emergency Management",laws/mda/nigeria-mda-directory.txt
Lower Benue River Basin Development Authority,—,"Makurdi, Benue State","Environment, Water Resources & Emergency Management",laws/mda/nigeria-mda-directory.txt
Lower Niger River Basin Development Authority,—,"Ilorin, Kwara State","Environment, Water Resources & Emergency Management",laws/mda/nigeria-mda-directory.txt
Niger Delta River Basin Development Authority,—,"Port Harcourt, Rivers State","Environment, Water Resources & Emergency Management",laws/mda/nigeria-mda-directory.txt
Ogun-Osun River Basin Development Authority,—,"Abeokuta, Ogun State","Environment, Water Resources & Emergency Management",laws/mda/nigeria-mda-directory.txt
Sokoto-Rima River Basin Development Authority,—,Sokoto State,"Environment, Water Resources & Emergency Management",laws/mda/nigeria-mda-directory.txt
Upper Benue River Basin Development Authority,—,"Yola, Adamawa State","Environment, Water Resources & Emergency Management",laws/mda/nigeria-mda-directory.txt
Upper Niger River Basin Development Authority,—,"Minna, Niger State","Environment, Water Resources & Emergency Management",laws/mda/nigeria-mda-directory.txt
National Emergency Management Agency,nema.gov.ng,Abuja. Emergency 112 (NEMA),"Environment, Water Resources & Emergency Management",laws/mda/nigeria-mda-directory.txt
State Emergency Management Agencies (SEMA),—,One per state - contact via state portal,"Environment, Water Resources & Emergency Management",laws/mda/nigeria-mda-directory.txt
National Directorate of Employment (NDE),nde.gov.ng,Abuja,"Labour, Social Protection, Humanitarian & Pensions",laws/mda/nigeria-mda-directory.txt
Nigeria Social Insurance Trust Fund (NSITF),nsitf.gov.ng,Abuja,"Labour, Social Protection, Humanitarian & Pensions",laws/mda/nigeria-mda-directory.txt
Industrial Training Fund (ITF),itf.gov.ng,"Jos, Plateau State","Labour, Social Protection, Humanitarian & Pensions",laws/mda/nigeria-mda-directory.txt
National Productivity Centre (NPC),npc.gov.ng,Abuja,"Labour, Social Protection, Humanitarian & Pensions",laws/mda/nigeria-mda-directory.txt
Michael Imoudu National Institute for Labour,mintstudies.edu.ng,"Ilorin, Kwara State Studies","Labour, Social Protection, Humanitarian & Pensions",laws/mda/nigeria-mda-directory.txt
"National Salaries, Incomes and Wages",nsiwc.gov.ng,Abuja Commission,"Labour, Social Protection, Humanitarian & Pensions",laws/mda/nigeria-mda-directory.txt
National Pension Commission (PenCom),pencom.gov.ng,Abuja,"Labour, Social Protection, Humanitarian & Pensions",laws/mda/nigeria-mda-directory.txt
Pension Transitional Arrangement Directorate,ptad.gov.ng,Abuja (PTAD),"Labour, Social Protection, Humanitarian & Pensions",laws/mda/nigeria-mda-directory.txt
"National Commission for Refugees, Migrants and",ncfrmi.gov.ng,Abuja IDPs (NCFRMI),"Labour, Social Protection, Humanitarian & Pensions",laws/mda/nigeria-mda-directory.txt
National Social Investment Programme Agency,nsipa.gov.ng,Abuja (NSIPA),"Labour, Social Protection, Humanitarian & Pensions",laws/mda/nigeria-mda-directory.txt
National Commission for Persons with,ncpwd.gov.ng,Abuja Disabilities (NCPWD),"Labour, Social Protection, Humanitarian & Pensions",laws/mda/nigeria-mda-directory.txt
National Senior Citizens Centre (NSCC),nscc.gov.ng,Abuja,"Labour, Social Protection, Humanitarian & Pensions",laws/mda/nigeria-mda-directory.txt
National Centre for Women Development,ncwd.gov.ng,Abuja (NCWD),"Labour, Social Protection, Humanitarian & Pensions",laws/mda/nigeria-mda-directory.txt
Nigerians in Diaspora Commission (NIDCOM),nidcom.gov.ng,Abuja,"Labour, Social Protection, Humanitarian & Pensions",laws/mda/nigeria-mda-directory.txt
National Hajj Commission of Nigeria (NAHCON),nahcon.gov.ng,Abuja,"Labour, Social Protection, Humanitarian & Pensions",laws/mda/nigeria-mda-directory.txt
Nigerian Christian Pilgrim Commission (NCPC),ncpc.gov.ng,Abuja,"Labour, Social Protection, Humanitarian & Pensions",laws/mda/nigeria-mda-directory.txt
National Youth Service Corps (NYSC),nysc.gov.ng,Abuja,"Labour, Social Protection, Humanitarian & Pensions",laws/mda/nigeria-mda-directory.txt
National Sports Commission (NSC),—,Abuja,"Labour, Social Protection, Humanitarian & Pensions",laws/mda/nigeria-mda-directory.txt
National Institute for Sports,—,"National Stadium, Lagos","Labour, Social Protection, Humanitarian & Pensions",laws/mda/nigeria-mda-directory.txt
Nigeria Olympic Committee,—,Abuja,"Labour, Social Protection, Humanitarian & Pensions",laws/mda/nigeria-mda-directory.txt
Supreme Court of Nigeria,supremecourt.gov.ng,"Three Arms Zone, Abuja",Judiciary & Legal Institutions,laws/mda/nigeria-mda-directory.txt
Court of Appeal,courtofappeal.gov.ng,Abuja and divisions nationwide,Judiciary & Legal Institutions,laws/mda/nigeria-mda-directory.txt
Federal High Court,fhc.gov.ng,Abuja and divisions nationwide,Judiciary & Legal Institutions,laws/mda/nigeria-mda-directory.txt
National Industrial Court of Nigeria (NICN),nicn.gov.ng,Abuja and divisions,Judiciary & Legal Institutions,laws/mda/nigeria-mda-directory.txt
High Court of the FCT,fcthighcourt.gov.ng,"Maitama, Abuja",Judiciary & Legal Institutions,laws/mda/nigeria-mda-directory.txt
Sharia Court of Appeal of the FCT,—,Abuja,Judiciary & Legal Institutions,laws/mda/nigeria-mda-directory.txt
Customary Court of Appeal of the FCT,—,Abuja,Judiciary & Legal Institutions,laws/mda/nigeria-mda-directory.txt
Tax Appeal Tribunal,taxappealtribunal.gov.ng,Abuja and zones,Judiciary & Legal Institutions,laws/mda/nigeria-mda-directory.txt
Investments and Securities Tribunal (IST),ist.gov.ng,Abuja,Judiciary & Legal Institutions,laws/mda/nigeria-mda-directory.txt
National Judicial Institute (NJI),nji.gov.ng,Abuja,Judiciary & Legal Institutions,laws/mda/nigeria-mda-directory.txt
Nigerian Law School / Council of Legal,nigerianlawschool.edu.ng,"Bwari, Abuja and campuses Education",Judiciary & Legal Institutions,laws/mda/nigeria-mda-directory.txt
Legal Aid Council of Nigeria,legalaidcouncil.gov.ng,Abuja,Judiciary & Legal Institutions,laws/mda/nigeria-mda-directory.txt
Body of Benchers,bodyofbenchers.gov.ng,Abuja,Judiciary & Legal Institutions,laws/mda/nigeria-mda-directory.txt
Nigerian Institute of Advanced Legal Studies,nials.edu.ng,Lagos / Abuja (NIALS),Judiciary & Legal Institutions,laws/mda/nigeria-mda-directory.txt
Legal Practitioners Privileges Committee,—,Abuja,Judiciary & Legal Institutions,laws/mda/nigeria-mda-directory.txt
Legal Practitioners Disciplinary Committee,—,Abuja,Judiciary & Legal Institutions,laws/mda/nigeria-mda-directory.txt
Nigerian Bar Association (professional body),nigerianbar.org.ng,Abuja,Judiciary & Legal Institutions,laws/mda/nigeria-mda-directory.txt
Administration of Criminal Justice Monitoring,acjmc.gov.ng,Abuja Committee (ACJMC),Judiciary & Legal Institutions,laws/mda/nigeria-mda-directory.txt
Nigerian Law Reform Commission,lawreform.gov.ng,Abuja,Judiciary & Legal Institutions,laws/mda/nigeria-mda-directory.txt
Federal Ministry of Justice - Public Prosecutions,justice.gov.ng,Abuja,Judiciary & Legal Institutions,laws/mda/nigeria-mda-directory.txt
Council for the Regulation of Engineering in,coren.gov.ng,Abuja Nigeria (COREN),Professional Regulatory Councils & Institutes,laws/mda/nigeria-mda-directory.txt
Architects Registration Council of Nigeria,arcon.gov.ng,Abuja (ARCON),Professional Regulatory Councils & Institutes,laws/mda/nigeria-mda-directory.txt
Quantity Surveyors Registration Board of Nigeria,qsrbn.gov.ng,Abuja (QSRBN),Professional Regulatory Councils & Institutes,laws/mda/nigeria-mda-directory.txt
Estate Surveyors and Valuers Registration Board,esvarbon.gov.ng,Abuja (ESVARBON),Professional Regulatory Councils & Institutes,laws/mda/nigeria-mda-directory.txt
Town Planners Registration Council (TOPREC),toprec.gov.ng,Abuja,Professional Regulatory Councils & Institutes,laws/mda/nigeria-mda-directory.txt
Surveyors Council of Nigeria (SURCON),surcon.gov.ng,Abuja,Professional Regulatory Councils & Institutes,laws/mda/nigeria-mda-directory.txt
Council of Registered Builders of Nigeria,corbon.gov.ng,Abuja (CORBON),Professional Regulatory Councils & Institutes,laws/mda/nigeria-mda-directory.txt
Institute of Chartered Accountants of Nigeria,icanig.org,Lagos (ICAN),Professional Regulatory Councils & Institutes,laws/mda/nigeria-mda-directory.txt
Association of National Accountants of Nigeria,anan.org.ng,Abuja (ANAN),Professional Regulatory Councils & Institutes,laws/mda/nigeria-mda-directory.txt
Chartered Institute of Taxation of Nigeria (CITN),citn.org,Lagos,Professional Regulatory Councils & Institutes,laws/mda/nigeria-mda-directory.txt
Chartered Institute of Bankers of Nigeria (CIBN),cibng.org,Lagos,Professional Regulatory Councils & Institutes,laws/mda/nigeria-mda-directory.txt
Chartered Insurance Institute of Nigeria (CIIN),ciinigeria.org,Lagos,Professional Regulatory Councils & Institutes,laws/mda/nigeria-mda-directory.txt
Nigerian Institute of Management (NIM),nim.org.ng,Lagos,Professional Regulatory Councils & Institutes,laws/mda/nigeria-mda-directory.txt
Chartered Institute of Personnel Management,cipmnigeria.org,Lagos (CIPM),Professional Regulatory Councils & Institutes,laws/mda/nigeria-mda-directory.txt
Nigerian Institute of Public Relations (NIPR),nipr.org.ng,Abuja,Professional Regulatory Councils & Institutes,laws/mda/nigeria-mda-directory.txt
Advertising Regulatory Council of Nigeria,arcon.gov.ng,Lagos (ARCON),Professional Regulatory Councils & Institutes,laws/mda/nigeria-mda-directory.txt
Institute of Chartered Chemists of Nigeria,iccon.gov.ng,Abuja,Professional Regulatory Councils & Institutes,laws/mda/nigeria-mda-directory.txt
Nigerian Institute of Food Science and,nifst.org,Abuja Technology,Professional Regulatory Councils & Institutes,laws/mda/nigeria-mda-directory.txt
Council of Nigerian Mining Engineers and,comeg.gov.ng,Abuja Geoscientists (COMEG),Professional Regulatory Councils & Institutes,laws/mda/nigeria-mda-directory.txt
Nigerian Institute of Building (NIOB),niob.org.ng,Lagos,Professional Regulatory Councils & Institutes,laws/mda/nigeria-mda-directory.txt
Nigerian Society of Engineers (NSE),nse.org.ng,Lagos / Abuja,Professional Regulatory Councils & Institutes,laws/mda/nigeria-mda-directory.txt
Chartered Institute of Stockbrokers (CIS),cisnigeria.org,Lagos,Professional Regulatory Councils & Institutes,laws/mda/nigeria-mda-directory.txt
Chartered Institute of Logistics and Transport,—,Lagos,Professional Regulatory Councils & Institutes,laws/mda/nigeria-mda-directory.txt
Niger Delta Development Commission (NDDC),nddc.gov.ng,"Port Harcourt, Rivers State",Regional & Development Commissions,laws/mda/nigeria-mda-directory.txt
North East Development Commission (NEDC),nedc.gov.ng,"Maiduguri, Borno State",Regional & Development Commissions,laws/mda/nigeria-mda-directory.txt
North West Development Commission (NWDC),—,Katsina State,Regional & Development Commissions,laws/mda/nigeria-mda-directory.txt
North Central Development Commission (NCDC),—,"Lafia, Nasarawa State",Regional & Development Commissions,laws/mda/nigeria-mda-directory.txt
South East Development Commission (SEDC),—,"Owerri, Imo State",Regional & Development Commissions,laws/mda/nigeria-mda-directory.txt
South West Development Commission (SWDC),—,"Ibadan, Oyo State",Regional & Development Commissions,laws/mda/nigeria-mda-directory.txt
South South Development Commission (SSDC),—,Establishment/status - verify,Regional & Development Commissions,laws/mda/nigeria-mda-directory.txt
Federal Capital Development Authority (FCDA),fcda.gov.ng,"Area 11, Garki, Abuja",Regional & Development Commissions,laws/mda/nigeria-mda-directory.txt
Abuja Metropolitan Management Council,—,Abuja (AMMC),Regional & Development Commissions,laws/mda/nigeria-mda-directory.txt
Abuja Investments Company Ltd,—,Abuja,Regional & Development Commissions,laws/mda/nigeria-mda-directory.txt
Presidential Amnesty Programme (Niger Delta),—,Abuja,Regional & Development Commissions,laws/mda/nigeria-mda-directory.txt
National Assembly of Nigeria,nassnig.org,"National Assembly Complex, Abuja",The Legislature,laws/mda/nigeria-mda-directory.txt
Senate of the Federal Republic of Nigeria,senate.gov.ng,"National Assembly Complex, Abuja",The Legislature,laws/mda/nigeria-mda-directory.txt
House of Representatives,housenigeria.gov.ng,"National Assembly Complex, Abuja",The Legislature,laws/mda/nigeria-mda-directory.txt
National Assembly Service Commission (NASC),nasc.gov.ng,Abuja,The Legislature,laws/mda/nigeria-mda-directory.txt
National Institute for Legislative and Democratic,nilds.gov.ng,Abuja Studies (NILDS),The Legislature,laws/mda/nigeria-mda-directory.txt
National Assembly Budget and Research Office,—,Abuja (NABRO),The Legislature,laws/mda/nigeria-mda-directory.txt
State Houses of Assembly (36),—,One per state - contact via state government portal,The Legislature,laws/mda/nigeria-mda-directory.txt
Federal Ministry of Foreign Affairs,foreignaffairs.gov.ng,"Tafawa Balewa House, Central Area, Abuja",Foreign Missions & International Representation,laws/mda/nigeria-mda-directory.txt
"Nigerian High Commission, London",nigeriahc.org.uk,United Kingdom,Foreign Missions & International Representation,laws/mda/nigeria-mda-directory.txt
"Embassy of Nigeria, Washington DC",nigeriaembassyusa.org,United States,Foreign Missions & International Representation,laws/mda/nigeria-mda-directory.txt
"Nigerian Consulate General, New York",—,United States,Foreign Missions & International Representation,laws/mda/nigeria-mda-directory.txt
"Nigerian Consulate General, Atlanta",nigeriaconsulateatlanta.org,United States,Foreign Missions & International Representation,laws/mda/nigeria-mda-directory.txt
"Embassy of Nigeria, Berlin",nigeriaembassygermany.org,Germany,Foreign Missions & International Representation,laws/mda/nigeria-mda-directory.txt
"Embassy of Nigeria, Dublin",nigerianembassydublin.org,Ireland,Foreign Missions & International Representation,laws/mda/nigeria-mda-directory.txt
Nigerian missions worldwide (100+),foreignaffairs.gov.ng,Full list via Ministry of Foreign Affairs,Foreign Missions & International Representation,laws/mda/nigeria-mda-directory.txt
Nigerians in Diaspora Commission (NIDCOM),nidcom.gov.ng,Abuja,Foreign Missions & International Representation,laws/mda/nigeria-mda-directory.txt
Technical Aid Corps,—,Abuja,Foreign Missions & International Representation,laws/mda/nigeria-mda-directory.txt
Abia Umuahia,abiastate.gov.ng,South East,The 36 States and the Federal Capital Territory,laws/mda/nigeria-mda-directory.txt
Adamawa Yola,adamawastate.gov.ng,North East,The 36 States and the Federal Capital Territory,laws/mda/nigeria-mda-directory.txt
Akwa Ibom Uyo,akwaibomstate.gov.ng,South South,The 36 States and the Federal Capital Territory,laws/mda/nigeria-mda-directory.txt
Anambra Awka,anambrastate.gov.ng,South East,The 36 States and the Federal Capital Territory,laws/mda/nigeria-mda-directory.txt
Bauchi Bauchi,bauchistate.gov.ng,North East,The 36 States and the Federal Capital Territory,laws/mda/nigeria-mda-directory.txt
Bayelsa Yenagoa,bayelsastate.gov.ng,South South,The 36 States and the Federal Capital Territory,laws/mda/nigeria-mda-directory.txt
Benue Makurdi,benuestate.gov.ng,North Central,The 36 States and the Federal Capital Territory,laws/mda/nigeria-mda-directory.txt
Borno Maiduguri,bornostate.gov.ng,North East,The 36 States and the Federal Capital Territory,laws/mda/nigeria-mda-directory.txt
Cross River Calabar,crossriverstate.gov.ng,South South,The 36 States and the Federal Capital Territory,laws/mda/nigeria-mda-directory.txt
Delta Asaba,delta.gov.ng,South South,The 36 States and the Federal Capital Territory,laws/mda/nigeria-mda-directory.txt
Ebonyi Abakaliki,ebonyistate.gov.ng,South East,The 36 States and the Federal Capital Territory,laws/mda/nigeria-mda-directory.txt
Ekiti Ado-Ekiti,ekitistate.gov.ng,South West,The 36 States and the Federal Capital Territory,laws/mda/nigeria-mda-directory.txt
Enugu Enugu,enugustate.gov.ng,South East,The 36 States and the Federal Capital Territory,laws/mda/nigeria-mda-directory.txt
Gombe Gombe,gombestate.gov.ng,North East,The 36 States and the Federal Capital Territory,laws/mda/nigeria-mda-directory.txt
Imo Owerri,imostate.gov.ng,South East,The 36 States and the Federal Capital Territory,laws/mda/nigeria-mda-directory.txt
Jigawa Dutse,jigawastate.gov.ng,North West,The 36 States and the Federal Capital Territory,laws/mda/nigeria-mda-directory.txt
Kaduna Kaduna,kdsg.gov.ng,North West,The 36 States and the Federal Capital Territory,laws/mda/nigeria-mda-directory.txt
Kano Kano,kanostate.gov.ng,North West,The 36 States and the Federal Capital Territory,laws/mda/nigeria-mda-directory.txt
Katsina Katsina,katsinastate.gov.ng,North West,The 36 States and the Federal Capital Territory,laws/mda/nigeria-mda-directory.txt
Kebbi Birnin Kebbi,kebbistate.gov.ng,North West,The 36 States and the Federal Capital Territory,laws/mda/nigeria-mda-directory.txt
Kogi Lokoja,kogistate.gov.ng,North Central,The 36 States and the Federal Capital Territory,laws/mda/nigeria-mda-directory.txt
Kwara Ilorin,kwarastate.gov.ng,North Central,The 36 States and the Federal Capital Territory,laws/mda/nigeria-mda-directory.txt
